Departements;code_map;men;women
Ain;fr-ara-ai;0,260567536;0,24892503
Aisne;fr-hdf-as;0,209270871;0,203212467
Allier;fr-ara-al;0,135856095;0,137784776
Alpes-de-Haute-Provence;fr-pac-ap;0,068567102;0,066944902
Hautes-Alpes;fr-pac-ha;0,058676103;0,056750392
Alpes-Maritimes;fr-pac-am;0,431559964;0,449611364
Ardèche;fr-ara-ah;0,134971413;0,130591186
Ardennes;fr-ges-an;0,107855699;0,105206379
Ariège;fr-occ-ag;0,064375496;0,061487728
Aube;fr-ges-ab;0,122905925;0,122023012
Aude;fr-occ-ad;0,151838852;0,152438067
Aveyron;fr-occ-av;0,118332587;0,111931883
Bouches-du-Rhône;fr-pac-bd;0,799344144;0,814464716
Calvados;fr-nor-cv;0,275039316;0,278334993
Cantal;fr-ara-cl;0,061452431;0,058696443
Charente;fr-naq-ct;0,143918184;0,142462764
Charente-Maritime;fr-naq-cm;0,265157887;0,269446146
Cher;fr-cvl-ch;0,122417861;0,1201813
Corrèze;fr-naq-cz;0,100257217;0,098797718
Corse-du-Sud;fr-cor-cs;0,067560139;0,067158364
Haute-Corse;fr-cor-hc;0,075832765;0,074501283
Côte-d'Or;fr-bfc-co;0,214565139;0,214217751
Côtes-d'Armor;fr-bre-ca;0,242094484;0,240397059
Creuse;fr-naq-cr;0,050040885;0,048479917
Dordogne;fr-naq-dd;0,172216309;0,170437837
Doubs;fr-bfc-db;0,216041027;0,208400659
Drôme;fr-ara-dm;0,206323349;0,20463204
Eure;fr-nor-eu;0,236449321;0,231122449
Eure-et-Loir;fr-cvl-el;0,170607506;0,165458322
Finistère;fr-bre-fi;0,37061899;0,362891029
Gard;fr-occ-ga;0,299992238;0,300084236
Haute-Garonne;fr-occ-hg;0,562493952;0,547950569
Gers;fr-occ-ge;0,079809581;0,07776544
Gironde;fr-naq-gi;0,651149289;0,653267029
Hérault;fr-occ-he;0,466989774;0,476562201
Ille-et-Vilaine;fr-bre-iv;0,428490161;0,416145614
Indre;fr-cvl-in;0,090150364;0,089994065
Indre-et-Loire;fr-cvl-il;0,24059733;0,241906613
Isère;fr-ara-is;0,502891698;0,484179845
Jura;fr-bfc-ju;0,105278212;0,102588352
Landes;fr-naq-ld;0,169635632;0,168300341
Loir-et-Cher;fr-cvl-lc;0,133495525;0,130980779
Loire;fr-ara-lr;0,30137668;0,301099858
Haute-Loire;fr-ara-hl;0,094328147;0,089761458
Loire-Atlantique;fr-pdl-la;0,563490283;0,556043956
Loiret;fr-cvl-lt;0,268452051;0,26376881
Lot;fr-occ-lo;0,073616807;0,072193399
Lot-et-Garonne;fr-naq-lg;0,134182429;0,135108359
Lozère;fr-occ-lz;0,032499301;0,030461002
Maine-et-Loire;fr-pdl-ml;0,324353954;0,31573209
Manche;fr-nor-mh;0,202648517;0,196727227
Marne;fr-ges-mr;0,224015924;0,221547268
Haute-Marne;fr-ges-hm;0,070863873;0,068209404
Mayenne;fr-pdl-my;0,123148362;0,117150706
Meurthe-et-Moselle;fr-ges-mm;0,295567765;0,288444308
Meuse;fr-ges-ms;0,075758333;0,070992074
Morbihan;fr-bre-mb;0,306936778;0,304266378
Moselle;fr-ges-mo;0,425231086;0,411233105
Nièvre;fr-bfc-ni;0,08322709;0,0835452
Nord;fr-hdf-no;1;1
Oise;fr-hdf-oi;0,323365066;0,313137994
Orne;fr-nor-or;0,114312176;0,110904775
Pas-de-Calais;fr-hdf-pc;0,570086054;0,561799786
Puy-de-Dôme;fr-ara-pd;0,26876892;0,264503006
Pyrénées-Atlantiques;fr-naq-pa;0,27785605;0,279999617
Hautes-Pyrénées;fr-occ-hp;0,094257968;0,094269058
Pyrénées-Orientales;fr-occ-po;0,191885595;0,197853888
Bas-Rhin;fr-ges-br;0,459711351;0,450008615
Haut-Rhin;fr-ges-hr;0,310495709;0,299297393
Rhône;fr-ara-rh;0,727405256;0,731362714
Haute-Saône;fr-bfc-hn;0,095862517;0,091900869
Saône-et-Loire;fr-bfc-sl;0,224903796;0,221031321
Sarthe;fr-pdl-st;0,222918578;0,219481564
Savoie;fr-ara-sv;0,176448321;0,170674273
Haute-Savoie;fr-ara-hs;0,330475485;0,317785351
Paris;fr-idf-vp;0,879492924;0,918681319
Seine-Maritime;fr-nor-sm;0,486998259;0,491953517
Seine-et-Marne;fr-idf-se;0,542044189;0,536080905
Yvelines;fr-idf-yv;0,557981224;0,551089329
Deux-Sèvres;fr-naq-ds;0,151435854;0,147081403
Somme;fr-hdf-so;0,22696132;0,223928859
Tarn;fr-occ-ta;0,156805618;0,157423326
Tarn-et-Garonne;fr-occ-tg;0,105104891;0,101839798
Var;fr-pac-vr;0,436207734;0,442274189
Vaucluse;fr-pac-vc;0,221406538;0,223655091
Vendée;fr-pdl-vd;0,277188285;0,27090018
Vienne;fr-naq-vn;0,175817773;0,174894705
Haute-Vienne;fr-naq-hv;0,149353874;0,153323506
Vosges;fr-ges-vg;0,148293744;0,14479745
Yonne;fr-bfc-yo;0,135551985;0,132019374
Territoire de Belfort;fr-bfc-tb;0,057204469;0,054276908
Essonne;fr-idf-es;0,509760742;0,492401501
Hauts-de-Seine;fr-idf-hd;0,622341834;0,643753111
Seine-Saint-Denis;fr-idf-ss;0,636684952;0,603202895
Val-de-Marne;fr-idf-vm;0,542708764;0,546649692
Val-d'Oise;fr-idf-vo;0,466946178;0,464218708
Guadeloupe ;fr-gua-gp;0,138735564;0,158512655
Martinique ;fr-mq-mq;0,137939138;0,153787763
Guyane;fr-gf-gf;0,091899525;0,090644982
La Reunion;fr-lre-re;0,310633941;0,323662748
Mayotte;fr-may-yt;0,068375705;0,072823257